GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino
1500000US130630405091,1.31E+11,Block Group 1 Census Tract 405.09 Clayton County Georgia,1779,1646,133
1500000US130630405092,1.31E+11,Block Group 2 Census Tract 405.09 Clayton County Georgia,2920,2784,136
1500000US130630405101,1.31E+11,Block Group 1 Census Tract 405.10 Clayton County Georgia,1952,1768,184
1500000US130630405102,1.31E+11,Block Group 2 Census Tract 405.10 Clayton County Georgia,1396,1368,28
1500000US130630405121,1.31E+11,Block Group 1 Census Tract 405.12 Clayton County Georgia,2611,2558,53
1500000US130630405122,1.31E+11,Block Group 2 Census Tract 405.12 Clayton County Georgia,582,582,0
1500000US130630405123,1.31E+11,Block Group 3 Census Tract 405.12 Clayton County Georgia,1701,1647,54
1500000US130630405131,1.31E+11,Block Group 1 Census Tract 405.13 Clayton County Georgia,1414,1414,0
1500000US130630405132,1.31E+11,Block Group 2 Census Tract 405.13 Clayton County Georgia,1659,1649,10
1500000US130630405133,1.31E+11,Block Group 3 Census Tract 405.13 Clayton County Georgia,2069,2062,7
1500000US130630405141,1.31E+11,Block Group 1 Census Tract 405.14 Clayton County Georgia,1156,1125,31
1500000US130630405142,1.31E+11,Block Group 2 Census Tract 405.14 Clayton County Georgia,2007,731,1276
1500000US130630405143,1.31E+11,Block Group 3 Census Tract 405.14 Clayton County Georgia,3958,3954,4
1500000US130630405151,1.31E+11,Block Group 1 Census Tract 405.15 Clayton County Georgia,849,849,0
1500000US130630405152,1.31E+11,Block Group 2 Census Tract 405.15 Clayton County Georgia,2560,2381,179
1500000US130630405153,1.31E+11,Block Group 3 Census Tract 405.15 Clayton County Georgia,1743,1183,560
1500000US130630405154,1.31E+11,Block Group 4 Census Tract 405.15 Clayton County Georgia,2851,2538,313
1500000US130630405161,1.31E+11,Block Group 1 Census Tract 405.16 Clayton County Georgia,3540,3081,459
1500000US130630405162,1.31E+11,Block Group 2 Census Tract 405.16 Clayton County Georgia,1396,932,464
1500000US130630405163,1.31E+11,Block Group 3 Census Tract 405.16 Clayton County Georgia,1168,1116,52
1500000US130630405181,1.31E+11,Block Group 1 Census Tract 405.18 Clayton County Georgia,690,652,38
1500000US130630405182,1.31E+11,Block Group 2 Census Tract 405.18 Clayton County Georgia,2989,2696,293
1500000US130630405183,1.31E+11,Block Group 3 Census Tract 405.18 Clayton County Georgia,1455,1129,326
1500000US130630405191,1.31E+11,Block Group 1 Census Tract 405.19 Clayton County Georgia,3429,3299,130
1500000US130630405192,1.31E+11,Block Group 2 Census Tract 405.19 Clayton County Georgia,889,821,68
1500000US130630405201,1.31E+11,Block Group 1 Census Tract 405.20 Clayton County Georgia,720,676,44
1500000US130630405202,1.31E+11,Block Group 2 Census Tract 405.20 Clayton County Georgia,575,575,0
1500000US130630405203,1.31E+11,Block Group 3 Census Tract 405.20 Clayton County Georgia,2049,1910,139
1500000US130630405211,1.31E+11,Block Group 1 Census Tract 405.21 Clayton County Georgia,1882,1693,189
