GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - No schooling completed,Estimate; Total: - Nursery school,Estimate; Total: - Kindergarten,Estimate; Total: - 1st grade,Estimate; Total: - 2nd grade,Estimate; Total: - 3rd grade,Estimate; Total: - 4th grade,Estimate; Total: - 5th grade,Estimate; Total: - 6th grade,Estimate; Total: - 7th grade,Estimate; Total: - 8th grade,Estimate; Total: - 9th grade,Estimate; Total: - 10th grade,Estimate; Total: - 11th grade,Estimate; Total: - 12th grade no diploma,Estimate; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Estimate; Total: - Some college less than 1 year,Estimate; Total: - Some college 1 or more years no degree,Estimate; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Estimate; Total: - Professional school degree,Estimate; Total: - Doctorate degree
0100000US,,United States,"209,056,129","2,886,666","28,612","38,463","140,352","316,010","656,325","516,574","728,363","2,768,475","1,054,643","3,059,196","3,555,052","4,264,386","4,813,043","3,761,588","50,169,338","8,271,262","13,102,493","31,139,065","16,580,076","38,184,668","16,246,947","4,088,689","2,685,843"
1500000US130630404102,130630000000,Block Group 2 Census Tract 404.10 Clayton County Georgia,586,17,0,0,0,0,0,0,0,40,0,0,7,0,0,55,363,0,0,60,11,33,0,0,0
1500000US130630404111,130630000000,Block Group 1 Census Tract 404.11 Clayton County Georgia,1715,0,0,0,0,0,21,0,0,0,0,0,93,13,0,77,355,16,83,353,172,344,188,0,0
1500000US130630404112,130630000000,Block Group 2 Census Tract 404.11 Clayton County Georgia,1823,0,0,0,0,0,0,0,0,2,0,1,13,85,2,13,470,139,72,654,41,186,133,0,12
1500000US130630404113,130630000000,Block Group 3 Census Tract 404.11 Clayton County Georgia,1628,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,441,118,22,427,84,230,254,0,13
1500000US130630404114,130630000000,Block Group 4 Census Tract 404.11 Clayton County Georgia,2900,47,0,0,0,0,0,0,0,0,0,0,94,100,25,81,477,197,178,626,224,709,122,0,20
1500000US130630404121,130630000000,Block Group 1 Census Tract 404.12 Clayton County Georgia,1732,92,0,0,0,0,0,0,86,49,0,119,24,68,186,69,463,71,124,247,17,117,0,0,0
1500000US130630404122,130630000000,Block Group 2 Census Tract 404.12 Clayton County Georgia,1911,16,0,0,0,0,0,54,0,154,0,0,0,0,47,76,385,0,113,438,210,370,48,0,0
1500000US130630404123,130630000000,Block Group 3 Census Tract 404.12 Clayton County Georgia,1758,54,0,0,0,0,0,0,0,0,0,6,14,40,101,103,535,0,51,358,188,146,117,14,31
1500000US130630404131,130630000000,Block Group 1 Census Tract 404.13 Clayton County Georgia,2142,0,0,0,0,0,0,0,43,82,0,0,167,120,14,106,755,168,42,306,81,197,41,20,0
1500000US130630404132,130630000000,Block Group 2 Census Tract 404.13 Clayton County Georgia,2495,0,0,0,0,0,0,9,0,19,18,0,119,92,15,66,516,82,76,425,250,494,210,53,51
1500000US130630404141,130630000000,Block Group 1 Census Tract 404.14 Clayton County Georgia,1120,26,0,0,0,0,7,0,68,43,9,4,43,22,36,100,313,68,28,160,110,55,26,2,0
1500000US130630404151,130630000000,Block Group 1 Census Tract 404.15 Clayton County Georgia,829,76,0,0,0,0,0,0,0,0,0,57,0,32,27,36,307,0,90,108,8,44,0,0,44
1500000US130630404152,130630000000,Block Group 2 Census Tract 404.15 Clayton County Georgia,1193,106,0,0,0,0,0,0,0,73,0,18,0,0,97,7,424,28,78,167,64,36,0,0,95
1500000US130630404153,130630000000,Block Group 3 Census Tract 404.15 Clayton County Georgia,450,6,0,0,0,0,0,0,0,0,0,0,107,0,64,0,43,44,20,116,0,40,10,0,0
1500000US130630404154,130630000000,Block Group 4 Census Tract 404.15 Clayton County Georgia,1008,126,0,0,0,0,38,0,0,61,0,36,48,0,47,0,225,35,105,200,0,59,28,0,0
1500000US130630404161,130630000000,Block Group 1 Census Tract 404.16 Clayton County Georgia,1370,49,0,0,0,0,0,0,0,68,43,44,70,101,27,38,351,68,36,306,93,71,0,0,5
1500000US130630404162,130630000000,Block Group 2 Census Tract 404.16 Clayton County Georgia,831,32,0,0,0,0,0,0,14,11,0,5,72,0,28,15,300,120,29,130,50,25,0,0,0
1500000US130630404171,130630000000,Block Group 1 Census Tract 404.17 Clayton County Georgia,1238,0,0,0,0,0,0,9,21,37,0,23,0,42,66,48,312,31,65,261,167,73,83,0,0
1500000US130630404172,130630000000,Block Group 2 Census Tract 404.17 Clayton County Georgia,345,8,0,0,0,0,82,0,0,66,0,15,0,13,0,0,75,19,0,15,0,19,8,0,25
1500000US130630404173,130630000000,Block Group 3 Census Tract 404.17 Clayton County Georgia,719,0,0,0,0,0,0,0,0,0,0,0,0,73,0,25,218,47,0,190,55,67,24,0,20
1500000US130630405091,130630000000,Block Group 1 Census Tract 405.09 Clayton County Georgia,1248,22,0,0,0,0,0,0,4,0,0,0,0,0,46,13,428,33,75,245,73,243,61,5,0
1500000US130630405092,130630000000,Block Group 2 Census Tract 405.09 Clayton County Georgia,1834,7,0,0,0,0,0,0,0,4,0,0,52,0,77,19,480,32,134,470,202,214,125,0,18
1500000US130630405101,130630000000,Block Group 1 Census Tract 405.10 Clayton County Georgia,1098,41,0,0,0,0,21,0,0,34,0,9,40,37,59,8,264,18,107,158,100,100,31,71,0
1500000US130630405102,130630000000,Block Group 2 Census Tract 405.10 Clayton County Georgia,778,0,0,0,0,0,21,0,0,0,0,25,9,25,21,0,248,7,41,212,15,96,28,20,10
