GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD28,HD01_VD29,HD01_VD30,HD01_VD31,HD01_VD32,HD01_VD33,HD01_VD34,HD01_VD35,HD01_VD36,HD01_VD37,HD01_VD38,HD01_VD39,HD01_VD40,HD01_VD41,HD01_VD42,HD01_VD43,HD01_VD44,HD01_VD45,HD01_VD46,HD01_VD47,HD01_VD48,HD01_VD49,HD01_VD50,HD01_VD51,HD01_VD52,HD01_VD53,HD01_VD54,HD01_VD55,HD01_VD56,HD01_VD57,HD01_VD58,HD01_VD59,HD01_VD60,HD01_VD61,HD01_VD62,HD01_VD63,HD01_VD64,HD01_VD65,HD01_VD66
1500000US130670309011,130670000000,Block Group 1 Census Tract 309.01 Cobb County Georgia,605,131,72,72,0,0,0,0,0,59,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,267,197,70,0,0,0,0,100,43,0,0,0,57,0,0,0,107,14,0,0,14,0,0,93,0,28,0,0,0,0,65,0
1500000US130670309012,130670000000,Block Group 2 Census Tract 309.01 Cobb County Georgia,1315,239,129,102,27,0,0,0,0,42,0,0,0,0,0,42,68,154,50,43,7,0,0,0,0,42,0,0,0,0,0,42,62,623,458,439,14,5,0,0,0,71,42,0,17,12,0,0,0,94,299,116,16,0,100,0,0,183,0,68,33,0,0,0,82,0
1500000US130670309013,130670000000,Block Group 3 Census Tract 309.01 Cobb County Georgia,1583,439,386,46,0,0,340,0,0,0,0,0,0,0,0,0,53,438,131,111,20,0,0,0,0,0,0,0,0,0,0,0,307,661,235,223,0,0,0,12,0,42,9,0,0,20,0,0,13,384,45,16,0,0,16,0,0,29,0,0,14,0,0,0,15,0
1500000US130670309014,130670000000,Block Group 4 Census Tract 309.01 Cobb County Georgia,1221,321,321,272,49,0,0,0,0,0,0,0,0,0,0,0,0,51,39,39,0,0,0,0,0,0,0,0,0,0,0,0,12,616,526,390,91,15,0,30,0,58,34,12,12,0,0,0,0,32,233,31,0,0,31,0,0,202,0,84,77,0,0,0,41,0
1500000US130670309015,130670000000,Block Group 5 Census Tract 309.01 Cobb County Georgia,2467,524,445,233,19,0,193,0,0,0,0,0,0,0,0,0,79,448,221,142,32,0,47,0,0,0,0,0,0,0,0,0,227,1189,926,865,44,0,17,0,0,18,0,0,0,0,0,18,0,245,306,43,8,0,35,0,0,263,0,85,85,23,0,0,70,0
1500000US130670309021,130670000000,Block Group 1 Census Tract 309.02 Cobb County Georgia,1127,199,86,26,0,0,60,0,0,40,0,0,0,0,0,40,73,597,214,213,0,0,1,0,0,0,0,0,0,0,0,0,383,164,105,104,1,0,0,0,0,0,0,0,0,0,0,0,0,59,167,51,0,0,51,0,0,115,0,55,29,31,0,0,0,1
1500000US130670309022,130670000000,Block Group 2 Census Tract 309.02 Cobb County Georgia,2288,435,273,18,0,0,255,0,0,22,0,0,0,22,0,0,140,747,234,180,54,0,0,0,0,0,0,0,0,0,0,0,513,981,375,362,13,0,0,0,0,16,0,0,0,0,0,0,16,590,125,38,0,0,38,0,0,87,0,0,48,0,0,39,0,0
1500000US130670309023,130670000000,Block Group 3 Census Tract 309.02 Cobb County Georgia,1168,330,330,253,22,0,20,35,0,0,0,0,0,0,0,0,0,257,217,136,38,0,0,43,0,0,0,0,0,0,0,0,40,417,359,312,19,0,10,0,18,19,0,0,0,0,0,0,19,39,164,47,0,0,47,0,0,117,0,0,88,18,0,0,11,0
1500000US130670309024,130670000000,Block Group 4 Census Tract 309.02 Cobb County Georgia,835,15,15,13,0,0,2,0,0,0,0,0,0,0,0,0,0,305,79,76,0,0,3,0,0,0,0,0,0,0,0,0,226,352,256,208,13,12,23,0,0,14,0,0,0,14,0,0,0,82,163,50,0,0,50,0,0,113,0,31,45,0,0,0,37,0
1500000US130670309041,130670000000,Block Group 1 Census Tract 309.04 Cobb County Georgia,1781,494,337,18,93,0,226,0,0,16,0,0,0,0,0,16,141,813,163,76,19,0,68,0,0,0,0,0,0,0,0,0,650,422,237,128,109,0,0,0,0,8,0,0,0,8,0,0,0,177,52,52,41,0,11,0,0,0,0,0,0,0,0,0,0,0
1500000US130670309042,130670000000,Block Group 2 Census Tract 309.04 Cobb County Georgia,1496,329,302,15,0,0,287,0,0,14,0,0,0,0,0,14,13,442,193,125,49,0,19,0,0,52,52,0,0,0,0,0,197,591,459,307,0,0,118,0,34,10,0,0,0,10,0,0,0,122,134,109,0,0,109,0,0,25,0,14,11,0,0,0,0,0
1500000US130670309043,130670000000,Block Group 3 Census Tract 309.04 Cobb County Georgia,1420,301,282,92,0,0,178,12,0,0,0,0,0,0,0,0,19,367,214,141,18,0,48,7,0,0,0,0,0,0,0,0,153,681,218,142,60,0,0,0,16,122,0,0,0,122,0,0,0,341,71,41,0,0,41,0,0,30,0,0,19,11,0,0,0,0
1500000US130670309044,130670000000,Block Group 4 Census Tract 309.04 Cobb County Georgia,1690,362,336,58,0,0,278,0,0,17,0,0,0,0,0,17,9,691,354,251,0,19,38,15,31,0,0,0,0,0,0,0,337,566,186,113,46,13,14,0,0,15,0,0,0,0,0,0,15,365,71,24,0,0,24,0,0,47,0,0,11,0,0,0,36,0
1500000US130670309051,130670000000,Block Group 1 Census Tract 309.05 Cobb County Georgia,462,127,116,76,0,0,40,0,0,0,0,0,0,0,0,0,11,70,52,40,12,0,0,0,0,0,0,0,0,0,0,0,18,209,139,120,18,0,1,0,0,13,0,0,0,1,0,0,12,57,56,10,0,0,10,0,0,46,0,9,9,0,0,0,28,0
1500000US130670309052,130670000000,Block Group 2 Census Tract 309.05 Cobb County Georgia,779,279,279,170,9,0,100,0,0,0,0,0,0,0,0,0,0,129,57,49,8,0,0,0,0,0,0,0,0,0,0,0,72,307,201,175,17,9,0,0,0,31,0,0,0,0,0,0,31,75,64,20,0,0,20,0,0,44,0,19,18,0,0,0,7,0
1500000US130670309053,130670000000,Block Group 3 Census Tract 309.05 Cobb County Georgia,3258,1218,1033,416,0,0,617,0,0,24,0,0,0,0,0,24,161,605,328,300,0,0,28,0,0,23,0,0,0,0,0,23,254,1289,602,502,60,0,40,0,0,87,0,11,0,45,0,0,31,600,146,26,0,10,16,0,0,120,0,31,61,10,0,0,18,0
1500000US130670309054,130670000000,Block Group 4 Census Tract 309.05 Cobb County Georgia,1301,304,225,17,32,0,164,12,0,17,12,0,0,0,0,5,62,517,245,214,24,0,0,7,0,0,0,0,0,0,0,0,272,380,215,155,9,8,43,0,0,75,37,20,0,0,0,9,9,90,100,16,0,0,16,0,0,84,0,0,24,31,0,0,29,0
1500000US130670310011,130670000000,Block Group 1 Census Tract 310.01 Cobb County Georgia,1633,511,334,25,0,25,284,0,0,0,0,0,0,0,0,0,177,401,60,41,0,0,19,0,0,0,0,0,0,0,0,0,341,636,102,53,0,4,45,0,0,29,0,0,0,29,0,0,0,505,85,60,0,0,60,0,0,22,0,0,0,19,0,0,3,3
1500000US130670310012,130670000000,Block Group 2 Census Tract 310.01 Cobb County Georgia,913,292,124,16,0,0,108,0,0,8,0,0,0,0,0,8,160,246,63,30,26,0,7,0,0,0,0,0,0,0,0,0,183,324,104,70,18,0,16,0,0,18,18,0,0,0,0,0,0,202,51,12,0,0,12,0,0,39,0,22,0,4,0,5,8,0
1500000US130670310013,130670000000,Block Group 3 Census Tract 310.01 Cobb County Georgia,2593,863,788,88,0,0,700,0,0,24,0,0,0,0,0,24,51,813,185,69,16,0,100,0,0,19,0,0,0,0,0,19,609,859,218,160,0,0,30,0,28,21,0,0,0,21,0,0,0,620,58,27,0,0,27,0,0,31,0,8,3,9,0,0,11,0
1500000US130670310021,130670000000,Block Group 1 Census Tract 310.02 Cobb County Georgia,3507,1181,842,267,0,0,575,0,0,0,0,0,0,0,0,0,339,1164,300,131,0,22,147,0,0,0,0,0,0,0,0,0,864,1036,356,271,0,0,85,0,0,114,0,0,0,83,0,0,31,566,126,21,0,0,21,0,0,105,0,32,18,9,0,0,46,0
1500000US130670310022,130670000000,Block Group 2 Census Tract 310.02 Cobb County Georgia,1600,570,570,71,0,0,499,0,0,0,0,0,0,0,0,0,0,574,178,113,0,31,34,0,0,14,0,0,0,0,0,14,382,421,168,51,84,0,33,0,0,17,0,0,0,0,0,0,17,236,35,0,0,0,0,0,0,35,0,13,22,0,0,0,0,0
1500000US130670310023,130670000000,Block Group 3 Census Tract 310.02 Cobb County Georgia,1940,551,497,273,0,0,224,0,0,0,0,0,0,0,0,0,54,487,167,167,0,0,0,0,0,44,0,0,0,44,0,0,276,733,380,256,42,15,67,0,0,14,0,0,0,14,0,0,0,339,169,68,0,0,68,0,0,101,0,22,52,0,0,14,13,0
1500000US130670310024,130670000000,Block Group 4 Census Tract 310.02 Cobb County Georgia,1805,519,308,186,0,0,122,0,0,0,0,0,0,0,0,0,211,490,239,154,69,0,16,0,0,0,0,0,0,0,0,0,251,591,363,312,26,0,25,0,0,61,24,0,0,0,0,0,37,167,205,108,0,0,108,0,0,97,0,21,50,18,0,0,8,0
1500000US130670310041,130670000000,Block Group 1 Census Tract 310.04 Cobb County Georgia,2882,873,590,194,0,0,396,0,0,0,0,0,0,0,0,0,283,751,290,224,0,0,53,0,13,13,0,0,0,0,0,13,448,1129,365,343,0,22,0,0,0,38,0,0,0,0,0,0,38,726,129,0,0,0,0,0,0,129,0,46,24,59,0,0,0,0
1500000US130670310042,130670000000,Block Group 2 Census Tract 310.04 Cobb County Georgia,1440,619,593,0,0,54,539,0,0,0,0,0,0,0,0,0,26,376,311,185,31,0,95,0,0,0,0,0,0,0,0,0,65,370,199,186,0,0,0,0,13,0,0,0,0,0,0,0,0,171,75,24,0,0,24,0,0,51,0,0,0,0,0,0,51,0
1500000US130670310043,130670000000,Block Group 3 Census Tract 310.04 Cobb County Georgia,2112,641,536,140,0,0,371,25,0,12,0,0,0,0,0,12,93,540,226,163,17,0,31,0,15,9,0,0,0,0,0,9,305,776,319,204,16,14,37,0,48,46,0,0,0,0,8,0,38,411,155,31,0,0,31,0,0,124,0,22,35,0,0,0,67,0
1500000US130670310044,130670000000,Block Group 4 Census Tract 310.04 Cobb County Georgia,1400,463,355,33,0,29,293,0,0,0,0,0,0,0,0,0,108,393,189,81,28,0,80,0,0,37,22,0,15,0,0,0,167,491,238,147,28,0,31,0,32,74,45,29,0,0,0,0,0,179,53,40,0,0,40,0,0,13,0,0,0,13,0,0,0,0
1500000US130670310051,130670000000,Block Group 1 Census Tract 310.05 Cobb County Georgia,3043,934,759,213,0,0,462,84,0,23,0,0,0,0,0,23,152,788,447,298,29,0,84,36,0,30,0,0,30,0,0,0,311,1142,693,634,16,0,12,31,0,77,23,9,0,0,0,0,45,372,179,51,8,0,43,0,0,128,0,0,28,18,0,34,48,0
