GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11
Id,Id2,Geography,Estimate; Total:,Estimate; Households with one or more people 65 years and over:,Estimate; Households with one or more people 65 years and over: - 1-person household,Estimate; Households with one or more people 65 years and over: - 2-or-more-person household:,Estimate; Households with one or more people 65 years and over: - 2-or-more-person household: - Family households,Estimate; Households with one or more people 65 years and over: - 2-or-more-person household: - Nonfamily households,Estimate; Households with no people 65 years and over:,Estimate; Households with no people 65 years and over: - 1-person households,Estimate; Households with no people 65 years and over: - 2-or-more-person household:,Estimate; Households with no people 65 years and over: - 2-or-more-person household: - Family households,Estimate; Households with no people 65 years and over: - 2-or-more-person household: - Nonfamily households
1500000US130630404141,130630000000,Block Group 1 Census Tract 404.14 Clayton County Georgia,568,98,27,71,62,9,470,140,330,305,25
1500000US130630404151,130630000000,Block Group 1 Census Tract 404.15 Clayton County Georgia,457,109,90,19,19,0,348,125,223,174,49
1500000US130630404152,130630000000,Block Group 2 Census Tract 404.15 Clayton County Georgia,584,86,11,75,75,0,498,103,395,362,33
1500000US130630404153,130630000000,Block Group 3 Census Tract 404.15 Clayton County Georgia,326,0,0,0,0,0,326,175,151,118,33
1500000US130630404154,130630000000,Block Group 4 Census Tract 404.15 Clayton County Georgia,505,0,0,0,0,0,505,91,414,403,11
1500000US130630404161,130630000000,Block Group 1 Census Tract 404.16 Clayton County Georgia,641,130,47,83,76,7,511,142,369,369,0
1500000US130630404162,130630000000,Block Group 2 Census Tract 404.16 Clayton County Georgia,433,95,6,89,89,0,338,150,188,188,0
1500000US130630404171,130630000000,Block Group 1 Census Tract 404.17 Clayton County Georgia,895,46,0,46,46,0,849,335,514,476,38
1500000US130630404172,130630000000,Block Group 2 Census Tract 404.17 Clayton County Georgia,206,68,43,25,25,0,138,40,98,98,0
1500000US130630404173,130630000000,Block Group 3 Census Tract 404.17 Clayton County Georgia,660,77,47,30,30,0,583,234,349,303,46
1500000US130630405091,130630000000,Block Group 1 Census Tract 405.09 Clayton County Georgia,619,175,65,110,110,0,444,74,370,330,40
1500000US130630405092,130630000000,Block Group 2 Census Tract 405.09 Clayton County Georgia,927,143,7,136,136,0,784,181,603,572,31
1500000US130630405101,130630000000,Block Group 1 Census Tract 405.10 Clayton County Georgia,599,89,37,52,42,10,510,144,366,332,34
1500000US130630405102,130630000000,Block Group 2 Census Tract 405.10 Clayton County Georgia,405,80,34,46,46,0,325,83,242,242,0
1500000US130630405121,130630000000,Block Group 1 Census Tract 405.12 Clayton County Georgia,959,106,16,90,90,0,853,355,498,452,46
