GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Under 6 years:,Estimate; Total: - Under 6 years: - Living with two parents:,Estimate; Total: - Under 6 years: - Living with two parents: - Both parents in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Father only in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Mother only in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Neither parent in labor force,Estimate; Total: - Under 6 years: - Living with one parent:,Estimate; Total: - Under 6 years: - Living with one parent: - Living with father:,Estimate; Total: - Under 6 years: - Living with one parent: - Living with father: - In labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Living with father: - Not in labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Living with mother:,Estimate; Total: - Under 6 years: - Living with one parent: - Living with mother: - In labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Living with mother: - Not in labor force,Estimate; Total: - 6 to 17 years:,Estimate; Total: - 6 to 17 years: - Living with two parents:,Estimate; Total: - 6 to 17 years: - Living with two parents: - Both parents in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Father only in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Mother only in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Neither parent in labor force,Estimate; Total: - 6 to 17 years: - Living with one parent:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with father:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with father: - In labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with father: - Not in labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with mother:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - In labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - Not in labor force
1500000US130630403071,130630000000,Block Group 1 Census Tract 403.07 Clayton County Georgia,447,184,114,16,98,0,0,70,17,17,0,53,53,0,263,132,91,41,0,0,131,53,53,0,78,44,34
1500000US130630403072,130630000000,Block Group 2 Census Tract 403.07 Clayton County Georgia,761,221,167,167,0,0,0,54,0,0,0,54,54,0,540,424,313,111,0,0,116,13,13,0,103,70,33
1500000US130630403081,130630000000,Block Group 1 Census Tract 403.08 Clayton County Georgia,383,252,115,0,115,0,0,137,0,0,0,137,137,0,131,87,27,60,0,0,44,6,0,6,38,13,25
1500000US130630403082,130630000000,Block Group 2 Census Tract 403.08 Clayton County Georgia,410,202,119,78,41,0,0,83,36,36,0,47,38,9,208,102,102,0,0,0,106,42,42,0,64,56,8
1500000US130630403083,130630000000,Block Group 3 Census Tract 403.08 Clayton County Georgia,212,33,22,0,22,0,0,11,0,0,0,11,0,11,179,110,29,53,28,0,69,18,18,0,51,24,27
1500000US130630404071,130630000000,Block Group 1 Census Tract 404.07 Clayton County Georgia,402,103,46,38,8,0,0,57,0,0,0,57,57,0,299,144,77,67,0,0,155,4,4,0,151,151,0
1500000US130630404072,130630000000,Block Group 2 Census Tract 404.07 Clayton County Georgia,622,254,115,49,66,0,0,139,69,69,0,70,70,0,368,165,152,13,0,0,203,39,39,0,164,157,7
1500000US130630404081,130630000000,Block Group 1 Census Tract 404.08 Clayton County Georgia,385,119,87,87,0,0,0,32,0,0,0,32,32,0,266,146,87,59,0,0,120,0,0,0,120,120,0
1500000US130630404082,130630000000,Block Group 2 Census Tract 404.08 Clayton County Georgia,784,401,133,15,118,0,0,268,100,100,0,168,168,0,383,132,68,64,0,0,251,9,9,0,242,242,0
1500000US130630404083,130630000000,Block Group 3 Census Tract 404.08 Clayton County Georgia,528,207,135,118,17,0,0,72,0,0,0,72,72,0,321,159,144,15,0,0,162,37,37,0,125,125,0
1500000US130630404091,130630000000,Block Group 1 Census Tract 404.09 Clayton County Georgia,559,164,18,18,0,0,0,146,0,0,0,146,146,0,395,106,54,19,33,0,289,0,0,0,289,255,34
1500000US130630404092,130630000000,Block Group 2 Census Tract 404.09 Clayton County Georgia,864,371,204,100,104,0,0,167,0,0,0,167,167,0,493,322,268,54,0,0,171,0,0,0,171,171,0
1500000US130630404101,130630000000,Block Group 1 Census Tract 404.10 Clayton County Georgia,1714,915,645,158,487,0,0,270,87,60,27,183,61,122,799,308,242,66,0,0,491,250,224,26,241,159,82
1500000US130630404102,130630000000,Block Group 2 Census Tract 404.10 Clayton County Georgia,343,34,0,0,0,0,0,34,0,0,0,34,34,0,309,48,0,48,0,0,261,0,0,0,261,261,0
1500000US130630404111,130630000000,Block Group 1 Census Tract 404.11 Clayton County Georgia,998,443,314,303,11,0,0,129,0,0,0,129,115,14,555,321,214,107,0,0,234,0,0,0,234,234,0
1500000US130630404112,130630000000,Block Group 2 Census Tract 404.11 Clayton County Georgia,901,125,69,23,46,0,0,56,0,0,0,56,56,0,776,561,434,127,0,0,215,0,0,0,215,162,53
1500000US130630404113,130630000000,Block Group 3 Census Tract 404.11 Clayton County Georgia,226,139,31,31,0,0,0,108,72,72,0,36,0,36,87,33,33,0,0,0,54,0,0,0,54,23,31
1500000US130630404114,130630000000,Block Group 4 Census Tract 404.11 Clayton County Georgia,1200,475,126,126,0,0,0,349,25,25,0,324,275,49,725,456,456,0,0,0,269,49,49,0,220,220,0
1500000US130630404121,130630000000,Block Group 1 Census Tract 404.12 Clayton County Georgia,638,135,53,53,0,0,0,82,0,0,0,82,52,30,503,294,287,0,0,7,209,0,0,0,209,170,39
1500000US130630404122,130630000000,Block Group 2 Census Tract 404.12 Clayton County Georgia,540,354,112,112,0,0,0,242,0,0,0,242,165,77,186,115,115,0,0,0,71,0,0,0,71,71,0
1500000US130630404123,130630000000,Block Group 3 Census Tract 404.12 Clayton County Georgia,472,257,42,10,32,0,0,215,46,46,0,169,169,0,215,90,46,44,0,0,125,23,23,0,102,102,0
1500000US130630404131,130630000000,Block Group 1 Census Tract 404.13 Clayton County Georgia,645,249,195,195,0,0,0,54,0,0,0,54,54,0,396,128,98,30,0,0,268,62,19,43,206,206,0
1500000US130630404132,130630000000,Block Group 2 Census Tract 404.13 Clayton County Georgia,1330,349,128,30,46,52,0,221,83,83,0,138,99,39,981,495,37,261,197,0,486,17,17,0,469,366,103
1500000US130630404141,130630000000,Block Group 1 Census Tract 404.14 Clayton County Georgia,293,84,19,8,11,0,0,65,28,28,0,37,0,37,209,82,0,34,40,8,127,57,20,37,70,52,18
