GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18
Id,Id2,Geography,Estimate; Total:,Estimate; Science and Engineering - Computers Mathematics and Statistics,Estimate; Science and Engineering - Biological Agricultural and Environmental Sciences,Estimate; Science and Engineering - Physical and Related Sciences,Estimate; Science and Engineering - Psychology,Estimate; Science and Engineering - Social Sciences,Estimate; Science and Engineering - Engineering,Estimate; Science and Engineering - Multidisciplinary Studies,Estimate; Science and Engineering Related Fields,Estimate; Business,Estimate; Education,Estimate; Arts Humanities and Other - Literature and Languages,Estimate; Arts Humanities and Other - Liberal Arts and History,Estimate; Arts Humanities and Other - Visual and Performing Arts,Estimate; Arts Humanities and Other - Communications,Estimate; Arts Humanities and Other - Other
1500000US130630404091,130630000000,Block Group 1 Census Tract 404.09 Clayton County Georgia,137,11,7,14,0,14,0,0,8,45,8,0,0,0,18,12
1500000US130630404092,130630000000,Block Group 2 Census Tract 404.09 Clayton County Georgia,259,0,0,31,0,10,7,0,7,62,64,7,29,13,0,29
1500000US130630404101,130630000000,Block Group 1 Census Tract 404.10 Clayton County Georgia,427,50,102,0,44,0,0,0,0,78,16,0,0,20,14,103
1500000US130630404102,130630000000,Block Group 2 Census Tract 404.10 Clayton County Georgia,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404111,130630000000,Block Group 1 Census Tract 404.11 Clayton County Georgia,532,63,20,0,108,20,127,0,0,96,36,0,0,0,0,62
1500000US130630404112,130630000000,Block Group 2 Census Tract 404.11 Clayton County Georgia,411,0,26,0,43,68,0,0,1,68,12,0,0,21,59,113
1500000US130630404113,130630000000,Block Group 3 Census Tract 404.11 Clayton County Georgia,545,66,32,39,35,17,15,0,131,116,39,0,55,0,0,0
1500000US130630404114,130630000000,Block Group 4 Census Tract 404.11 Clayton County Georgia,864,80,0,17,13,24,0,0,132,107,261,7,83,0,115,25
1500000US130630404121,130630000000,Block Group 1 Census Tract 404.12 Clayton County Georgia,117,0,10,5,0,41,0,0,0,61,0,0,0,0,0,0
1500000US130630404122,130630000000,Block Group 2 Census Tract 404.12 Clayton County Georgia,508,0,0,0,116,41,0,0,0,126,15,19,0,90,0,101
1500000US130630404123,130630000000,Block Group 3 Census Tract 404.12 Clayton County Georgia,325,17,16,0,0,55,0,9,32,120,65,0,11,0,0,0
1500000US130630404131,130630000000,Block Group 1 Census Tract 404.13 Clayton County Georgia,299,30,10,10,20,25,0,0,31,128,0,0,31,0,0,14
1500000US130630404132,130630000000,Block Group 2 Census Tract 404.13 Clayton County Georgia,828,15,108,0,39,44,0,0,85,219,105,35,0,0,69,109
1500000US130630404141,130630000000,Block Group 1 Census Tract 404.14 Clayton County Georgia,83,0,8,20,0,11,0,0,0,24,12,0,0,0,8,0
1500000US130630404151,130630000000,Block Group 1 Census Tract 404.15 Clayton County Georgia,88,35,0,9,0,0,0,0,0,22,0,0,22,0,0,0
1500000US130630404152,130630000000,Block Group 2 Census Tract 404.15 Clayton County Georgia,226,0,95,0,0,0,0,0,0,95,0,0,0,0,36,0
1500000US130630404153,130630000000,Block Group 3 Census Tract 404.15 Clayton County Georgia,50,0,0,0,10,0,0,0,0,0,40,0,0,0,0,0
1500000US130630404154,130630000000,Block Group 4 Census Tract 404.15 Clayton County Georgia,87,0,28,0,0,0,0,0,0,38,0,0,0,0,0,21
1500000US130630404161,130630000000,Block Group 1 Census Tract 404.16 Clayton County Georgia,76,0,7,0,5,40,0,0,0,0,17,0,0,0,7,0
1500000US130630404162,130630000000,Block Group 2 Census Tract 404.16 Clayton County Georgia,25,0,0,0,0,0,0,0,6,0,10,0,0,9,0,0
1500000US130630404171,130630000000,Block Group 1 Census Tract 404.17 Clayton County Georgia,156,0,72,0,0,9,10,0,0,54,0,0,0,0,11,0
1500000US130630404172,130630000000,Block Group 2 Census Tract 404.17 Clayton County Georgia,52,0,25,0,8,0,0,0,11,0,0,0,0,0,8,0
1500000US130630404173,130630000000,Block Group 3 Census Tract 404.17 Clayton County Georgia,111,14,0,0,0,0,0,20,0,0,51,0,0,0,0,26
1500000US130630405091,130630000000,Block Group 1 Census Tract 405.09 Clayton County Georgia,319,7,21,0,0,40,12,0,50,58,63,0,9,0,34,25
1500000US130630405092,130630000000,Block Group 2 Census Tract 405.09 Clayton County Georgia,371,20,19,8,36,54,18,0,39,75,29,10,0,5,23,35
1500000US130630405101,130630000000,Block Group 1 Census Tract 405.10 Clayton County Georgia,208,0,0,15,19,0,15,0,31,35,62,0,0,0,6,25
1500000US130630405102,130630000000,Block Group 2 Census Tract 405.10 Clayton County Georgia,154,0,18,0,0,15,0,0,20,42,15,0,0,0,0,44
1500000US130630405121,130630000000,Block Group 1 Census Tract 405.12 Clayton County Georgia,243,0,0,0,23,40,0,0,61,82,7,10,10,0,0,10
1500000US130630405122,130630000000,Block Group 2 Census Tract 405.12 Clayton County Georgia,95,0,22,0,16,0,12,0,0,0,22,23,0,0,0,0
1500000US130630405123,130630000000,Block Group 3 Census Tract 405.12 Clayton County Georgia,258,15,15,19,12,17,17,10,23,76,27,0,0,0,7,20
1500000US130630405131,130630000000,Block Group 1 Census Tract 405.13 Clayton County Georgia,189,12,12,0,0,25,0,17,21,39,34,0,6,4,10,9
1500000US130630405132,130630000000,Block Group 2 Census Tract 405.13 Clayton County Georgia,343,17,14,14,0,58,0,0,22,63,80,15,44,0,0,16
1500000US130630405133,130630000000,Block Group 3 Census Tract 405.13 Clayton County Georgia,262,0,0,0,31,0,0,6,11,64,124,0,0,0,20,6
1500000US130630405141,130630000000,Block Group 1 Census Tract 405.14 Clayton County Georgia,392,0,29,9,100,141,0,0,29,17,22,0,0,0,17,28
1500000US130630405142,130630000000,Block Group 2 Census Tract 405.14 Clayton County Georgia,163,19,0,0,27,34,0,0,16,34,33,0,0,0,0,0
1500000US130630405143,130630000000,Block Group 3 Census Tract 405.14 Clayton County Georgia,691,50,40,0,31,14,13,0,6,219,73,0,72,45,32,96
1500000US130630405151,130630000000,Block Group 1 Census Tract 405.15 Clayton County Georgia,196,29,0,0,0,44,0,0,0,29,65,0,0,0,0,29
1500000US130630405152,130630000000,Block Group 2 Census Tract 405.15 Clayton County Georgia,338,0,0,66,0,27,0,0,114,86,15,0,0,0,0,30
1500000US130630405153,130630000000,Block Group 3 Census Tract 405.15 Clayton County Georgia,160,0,0,14,0,33,15,0,15,49,10,0,13,0,11,0
1500000US130630405154,130630000000,Block Group 4 Census Tract 405.15 Clayton County Georgia,136,12,0,0,0,16,0,0,13,0,32,14,0,0,17,32
1500000US130630405161,130630000000,Block Group 1 Census Tract 405.16 Clayton County Georgia,207,0,0,0,0,0,0,0,75,63,37,0,0,0,19,13
1500000US130630405162,130630000000,Block Group 2 Census Tract 405.16 Clayton County Georgia,51,0,0,0,0,0,0,0,0,36,15,0,0,0,0,0
1500000US130630405163,130630000000,Block Group 3 Census Tract 405.16 Clayton County Georgia,229,0,0,0,12,19,0,12,0,116,12,0,0,0,0,58
1500000US130630405181,130630000000,Block Group 1 Census Tract 405.18 Clayton County Georgia,28,0,0,0,0,11,0,0,10,7,0,0,0,0,0,0
1500000US130630405182,130630000000,Block Group 2 Census Tract 405.18 Clayton County Georgia,244,34,0,0,24,0,0,0,0,99,22,39,9,0,0,17
1500000US130630405183,130630000000,Block Group 3 Census Tract 405.18 Clayton County Georgia,157,24,0,0,10,16,18,0,0,0,19,0,52,18,0,0
1500000US130630405191,130630000000,Block Group 1 Census Tract 405.19 Clayton County Georgia,375,72,45,0,30,50,20,0,0,43,40,0,13,0,0,62
1500000US130630405192,130630000000,Block Group 2 Census Tract 405.19 Clayton County Georgia,119,0,0,0,0,0,0,0,23,35,0,0,0,0,15,46
1500000US130630405201,130630000000,Block Group 1 Census Tract 405.20 Clayton County Georgia,16,5,0,0,0,0,0,0,0,6,5,0,0,0,0,0
1500000US130630405202,130630000000,Block Group 2 Census Tract 405.20 Clayton County Georgia,120,0,0,0,0,6,0,0,0,74,0,0,22,0,0,18
1500000US130630405203,130630000000,Block Group 3 Census Tract 405.20 Clayton County Georgia,151,8,0,0,0,0,0,0,37,25,6,24,0,0,24,27
1500000US130630405211,130630000000,Block Group 1 Census Tract 405.21 Clayton County Georgia,84,0,0,0,0,19,52,0,0,0,13,0,0,0,0,0
1500000US130630405212,130630000000,Block Group 2 Census Tract 405.21 Clayton County Georgia,109,0,0,0,0,0,0,0,27,29,21,0,13,0,0,19
1500000US130630405221,130630000000,Block Group 1 Census Tract 405.22 Clayton County Georgia,115,0,0,0,0,10,0,0,17,0,27,0,0,0,44,17
1500000US130630405222,130630000000,Block Group 2 Census Tract 405.22 Clayton County Georgia,306,0,42,0,0,28,0,20,13,44,25,20,14,0,59,41
1500000US130630405223,130630000000,Block Group 3 Census Tract 405.22 Clayton County Georgia,33,0,0,0,0,0,0,0,0,13,20,0,0,0,0,0
1500000US130630405231,130630000000,Block Group 1 Census Tract 405.23 Clayton County Georgia,273,74,0,0,28,16,0,0,53,25,25,18,0,0,0,34
1500000US130630405241,130630000000,Block Group 1 Census Tract 405.24 Clayton County Georgia,249,12,9,0,0,20,0,0,32,81,42,0,0,0,0,53
1500000US130630405242,130630000000,Block Group 2 Census Tract 405.24 Clayton County Georgia,400,0,14,0,0,31,0,0,0,102,62,94,0,0,15,82
1500000US130630405243,130630000000,Block Group 3 Census Tract 405.24 Clayton County Georgia,158,0,0,0,0,36,21,16,16,69,0,0,0,0,0,0
1500000US130630405244,130630000000,Block Group 4 Census Tract 405.24 Clayton County Georgia,259,0,0,0,51,37,0,0,0,30,0,16,0,0,15,110
1500000US130630405251,130630000000,Block Group 1 Census Tract 405.25 Clayton County Georgia,303,13,4,1,22,17,12,0,24,83,14,5,56,0,7,45
1500000US130630405261,130630000000,Block Group 1 Census Tract 405.26 Clayton County Georgia,249,0,0,0,18,13,0,0,0,22,99,0,0,34,0,63
1500000US130630405262,130630000000,Block Group 2 Census Tract 405.26 Clayton County Georgia,121,36,0,0,10,13,0,0,10,21,0,0,0,0,0,31
1500000US130630405263,130630000000,Block Group 3 Census Tract 405.26 Clayton County Georgia,173,0,59,0,0,0,0,0,0,14,8,68,0,0,0,24
1500000US130630406061,130630000000,Block Group 1 Census Tract 406.06 Clayton County Georgia,215,0,0,0,19,7,7,0,39,62,62,9,0,0,10,0
1500000US130630406062,130630000000,Block Group 2 Census Tract 406.06 Clayton County Georgia,148,0,10,0,5,16,0,0,6,64,16,0,20,0,0,11
1500000US130630406081,130630000000,Block Group 1 Census Tract 406.08 Clayton County Georgia,1143,41,37,23,60,102,47,17,102,292,160,15,42,0,15,190
1500000US130630406082,130630000000,Block Group 2 Census Tract 406.08 Clayton County Georgia,699,29,41,35,23,62,0,0,124,160,57,76,31,0,27,34
1500000US130630406091,130630000000,Block Group 1 Census Tract 406.09 Clayton County Georgia,211,88,0,47,0,0,0,0,30,14,0,22,0,0,0,10
1500000US130630406092,130630000000,Block Group 2 Census Tract 406.09 Clayton County Georgia,536,65,0,20,55,46,7,0,64,107,42,0,20,45,28,37
1500000US130630406093,130630000000,Block Group 3 Census Tract 406.09 Clayton County Georgia,514,30,22,0,32,16,48,0,61,131,41,21,23,0,54,35
1500000US130630406111,130630000000,Block Group 1 Census Tract 406.11 Clayton County Georgia,127,0,0,0,0,0,0,0,0,25,68,17,0,17,0,0
1500000US130630406112,130630000000,Block Group 2 Census Tract 406.11 Clayton County Georgia,170,0,0,0,19,19,0,0,77,16,39,0,0,0,0,0
1500000US130630406113,130630000000,Block Group 3 Census Tract 406.11 Clayton County Georgia,241,0,0,0,0,12,0,0,0,68,39,12,0,0,46,64
1500000US130630406121,130630000000,Block Group 1 Census Tract 406.12 Clayton County Georgia,91,0,13,8,17,0,0,6,7,8,20,0,4,8,0,0
1500000US130630406122,130630000000,Block Group 2 Census Tract 406.12 Clayton County Georgia,153,25,0,0,0,0,11,0,9,81,27,0,0,0,0,0
