GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD29,HD01_VD30,HD01_VD31,HD01_VD32,HD01_VD33,HD01_VD34,HD01_VD35,HD01_VD36,HD01_VD37,HD01_VD38,HD01_VD39,HD01_VD40,HD01_VD41,HD01_VD42,HD01_VD43,HD01_VD44,HD01_VD45,HD01_VD46,HD01_VD47,HD01_VD48,HD01_VD49,HD01_VD50,HD01_VD51
1500000US131210010011,131210000000,Block Group 1 Census Tract 10.01 Fulton County Georgia,1500,1172,647,221,46,19,44,28,36,48,305,104,8,34,35,71,53,121,0,0,24,21,38,38,525,328,183,53,35,4,14,0,0,0,41,26,0,3,1,11,0,89,10,0,0,19,54,6,145
1500000US131210010012,131210000000,Block Group 2 Census Tract 10.01 Fulton County Georgia,895,601,498,433,393,17,0,12,5,6,32,23,0,0,1,8,0,33,0,0,30,0,0,3,103,294,236,199,175,9,0,15,0,0,34,24,0,3,0,0,7,3,0,0,0,0,3,0,58
1500000US131210010021,131210000000,Block Group 1 Census Tract 10.02 Fulton County Georgia,7509,5068,2628,837,198,6,34,18,147,434,891,157,39,106,99,120,370,900,5,61,23,150,240,421,2440,2441,1242,350,119,3,0,32,38,158,381,68,14,47,47,130,75,511,36,0,51,109,162,153,1199
1500000US131210011001,131210000000,Block Group 1 Census Tract 11 Fulton County Georgia,882,586,516,482,462,11,9,0,0,0,15,0,15,0,0,0,0,19,19,0,0,0,0,0,70,296,271,259,228,0,0,0,0,31,12,12,0,0,0,0,0,0,0,0,0,0,0,0,25
1500000US131210011002,131210000000,Block Group 2 Census Tract 11 Fulton County Georgia,1061,605,578,518,504,0,0,14,0,0,50,0,0,7,0,43,0,10,0,0,0,0,10,0,27,456,352,302,272,0,0,14,0,16,34,0,0,0,14,20,0,16,0,0,0,0,0,16,104
1500000US131210011003,131210000000,Block Group 3 Census Tract 11 Fulton County Georgia,1590,891,745,497,497,0,0,0,0,0,214,97,0,21,96,0,0,34,0,0,17,0,0,17,146,699,568,506,444,0,35,16,0,11,62,26,0,19,17,0,0,0,0,0,0,0,0,0,131
1500000US131210012011,131210000000,Block Group 1 Census Tract 12.01 Fulton County Georgia,1627,1088,970,854,727,22,15,57,0,33,116,22,0,0,94,0,0,0,0,0,0,0,0,0,118,539,533,436,409,0,15,12,0,0,83,46,0,0,0,37,0,14,0,0,0,14,0,0,6
1500000US131210012012,131210000000,Block Group 2 Census Tract 12.01 Fulton County Georgia,1459,730,711,516,469,14,0,0,0,33,153,147,0,0,6,0,0,42,0,0,0,0,0,42,19,729,633,509,388,86,11,24,0,0,109,41,12,18,38,0,0,15,0,0,0,0,15,0,96
1500000US131210012021,131210000000,Block Group 1 Census Tract 12.02 Fulton County Georgia,2181,1264,1264,1107,942,74,18,43,30,0,124,86,0,0,38,0,0,33,21,0,0,0,0,12,0,917,749,673,618,0,0,37,18,0,65,45,0,20,0,0,0,11,0,0,0,0,0,11,168
1500000US131210012022,131210000000,Block Group 2 Census Tract 12.02 Fulton County Georgia,1194,765,765,587,549,0,16,0,12,10,178,109,0,59,10,0,0,0,0,0,0,0,0,0,0,429,374,318,206,29,0,69,14,0,56,0,0,27,20,0,9,0,0,0,0,0,0,0,55
1500000US131210013001,131210000000,Block Group 1 Census Tract 13 Fulton County Georgia,1813,864,677,510,384,29,41,13,14,29,167,30,0,0,98,0,39,0,0,0,0,0,0,0,187,949,817,603,504,0,71,10,9,9,202,54,0,15,79,38,16,12,0,0,0,12,0,0,132
1500000US131210013002,131210000000,Block Group 2 Census Tract 13 Fulton County Georgia,917,579,520,440,325,23,44,48,0,0,60,39,0,0,21,0,0,20,0,0,0,0,20,0,59,338,312,272,185,14,21,0,35,17,40,0,15,0,6,19,0,0,0,0,0,0,0,0,26
