GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19
Id,Id2,Geography,Estimate; Total:,Estimate; Male:,Estimate; Male: - Never married,Estimate; Male: - Now married:,Estimate; Male: - Now married: - Married spouse present,Estimate; Male: - Now married: - Married spouse absent:,Estimate; Male: - Now married: - Married spouse absent: - Separated,Estimate; Male: - Now married: - Married spouse absent: - Other,Estimate; Male: - Widowed,Estimate; Male: - Divorced,Estimate; Female:,Estimate; Female: - Never married,Estimate; Female: - Now married:,Estimate; Female: - Now married: - Married spouse present,Estimate; Female: - Now married: - Married spouse absent:,Estimate; Female: - Now married: - Married spouse absent: - Separated,Estimate; Female: - Now married: - Married spouse absent: - Other,Estimate; Female: - Widowed,Estimate; Female: - Divorced
1500000US130630403061,1.31E+11,Block Group 1 Census Tract 403.06 Clayton County Georgia,1458,933,331,342,156,186,94,92,36,224,525,275,189,144,45,8,37,31,30
1500000US130630403062,1.31E+11,Block Group 2 Census Tract 403.06 Clayton County Georgia,1219,597,348,191,63,128,81,47,0,58,622,386,137,58,79,79,0,31,68
1500000US130630403071,1.31E+11,Block Group 1 Census Tract 403.07 Clayton County Georgia,1254,638,259,345,230,115,46,69,7,27,616,174,235,205,30,10,20,24,183
1500000US130630403072,1.31E+11,Block Group 2 Census Tract 403.07 Clayton County Georgia,2066,1015,466,412,392,20,9,11,24,113,1051,264,419,385,34,34,0,149,219
1500000US130630403081,1.31E+11,Block Group 1 Census Tract 403.08 Clayton County Georgia,1926,1190,740,295,156,139,53,86,16,139,736,199,257,150,107,96,11,113,167
1500000US130630403082,1.31E+11,Block Group 2 Census Tract 403.08 Clayton County Georgia,1223,736,304,339,184,155,44,111,16,77,487,166,225,173,52,29,23,53,43
1500000US130630403083,1.31E+11,Block Group 3 Census Tract 403.08 Clayton County Georgia,677,341,177,128,107,21,11,10,6,30,336,150,119,113,6,6,0,17,50
1500000US130630404071,1.31E+11,Block Group 1 Census Tract 404.07 Clayton County Georgia,1473,762,382,278,227,51,33,18,53,49,711,239,323,216,107,17,90,71,78
1500000US130630404072,1.31E+11,Block Group 2 Census Tract 404.07 Clayton County Georgia,1556,589,194,318,251,67,22,45,19,58,967,501,312,242,70,39,31,51,103
1500000US130630404081,1.31E+11,Block Group 1 Census Tract 404.08 Clayton County Georgia,1478,673,244,290,255,35,0,35,37,102,805,277,327,277,50,0,50,102,99
1500000US130630404082,1.31E+11,Block Group 2 Census Tract 404.08 Clayton County Georgia,3001,1423,851,395,207,188,101,87,7,170,1578,801,308,195,113,48,65,141,328
1500000US130630404083,1.31E+11,Block Group 3 Census Tract 404.08 Clayton County Georgia,1841,865,206,468,423,45,10,35,15,176,976,275,498,439,59,27,32,43,160
1500000US130630404091,1.31E+11,Block Group 1 Census Tract 404.09 Clayton County Georgia,2125,955,424,362,321,41,24,17,6,163,1170,504,390,314,76,39,37,88,188
1500000US130630404092,1.31E+11,Block Group 2 Census Tract 404.09 Clayton County Georgia,2281,1089,401,526,468,58,16,42,7,155,1192,483,503,459,44,27,17,105,101
1500000US130630404101,1.31E+11,Block Group 1 Census Tract 404.10 Clayton County Georgia,3610,1893,548,919,760,159,152,7,27,399,1717,455,904,674,230,141,89,91,267
1500000US130630404102,1.31E+11,Block Group 2 Census Tract 404.10 Clayton County Georgia,741,322,197,95,95,0,0,0,0,30,419,153,227,84,143,117,26,0,39
1500000US130630404111,1.31E+11,Block Group 1 Census Tract 404.11 Clayton County Georgia,2197,1035,444,536,496,40,0,40,0,55,1162,313,490,467,23,0,23,158,201
1500000US130630404112,1.31E+11,Block Group 2 Census Tract 404.11 Clayton County Georgia,2052,921,396,468,447,21,21,0,22,35,1131,371,459,434,25,13,12,183,118
1500000US130630404113,1.31E+11,Block Group 3 Census Tract 404.11 Clayton County Georgia,1811,890,325,439,391,48,23,25,73,53,921,247,494,368,126,49,77,62,118
