GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Estimate; Total: - Two or more races: - Two races excluding Some other race and three or more races
1500000US130630404151,1.31E+11,Block Group 1 Census Tract 404.15 Clayton County Georgia,1275,639,636,0,0,0,0,0,0,0
1500000US130630404152,1.31E+11,Block Group 2 Census Tract 404.15 Clayton County Georgia,2035,294,1508,0,40,0,159,34,0,34
1500000US130630404153,1.31E+11,Block Group 3 Census Tract 404.15 Clayton County Georgia,686,163,398,0,0,0,125,0,0,0
1500000US130630404154,1.31E+11,Block Group 4 Census Tract 404.15 Clayton County Georgia,2041,312,1103,0,252,0,374,0,0,0
1500000US130630404161,1.31E+11,Block Group 1 Census Tract 404.16 Clayton County Georgia,2185,1034,800,0,274,0,41,36,0,36
1500000US130630404162,1.31E+11,Block Group 2 Census Tract 404.16 Clayton County Georgia,1774,318,1152,0,54,0,177,73,0,73
1500000US130630404171,1.31E+11,Block Group 1 Census Tract 404.17 Clayton County Georgia,2379,259,2031,0,0,0,37,52,0,52
1500000US130630404172,1.31E+11,Block Group 2 Census Tract 404.17 Clayton County Georgia,539,128,97,0,0,0,314,0,0,0
1500000US130630404173,1.31E+11,Block Group 3 Census Tract 404.17 Clayton County Georgia,1492,27,1337,0,48,0,35,45,0,45
1500000US130630405091,1.31E+11,Block Group 1 Census Tract 405.09 Clayton County Georgia,1779,169,1483,33,68,6,0,20,0,20
1500000US130630405092,1.31E+11,Block Group 2 Census Tract 405.09 Clayton County Georgia,2920,305,2581,0,27,0,0,7,0,7
1500000US130630405101,1.31E+11,Block Group 1 Census Tract 405.10 Clayton County Georgia,1952,358,1472,0,119,0,3,0,0,0
1500000US130630405102,1.31E+11,Block Group 2 Census Tract 405.10 Clayton County Georgia,1396,86,1037,0,232,0,0,41,0,41
1500000US130630405121,1.31E+11,Block Group 1 Census Tract 405.12 Clayton County Georgia,2611,345,2009,76,53,0,0,128,0,128
1500000US130630405122,1.31E+11,Block Group 2 Census Tract 405.12 Clayton County Georgia,582,45,494,0,43,0,0,0,0,0
1500000US130630405123,1.31E+11,Block Group 3 Census Tract 405.12 Clayton County Georgia,1701,80,1621,0,0,0,0,0,0,0
1500000US130630405131,1.31E+11,Block Group 1 Census Tract 405.13 Clayton County Georgia,1414,36,960,0,336,0,0,82,0,82
1500000US130630405132,1.31E+11,Block Group 2 Census Tract 405.13 Clayton County Georgia,1659,203,1421,0,22,0,13,0,0,0
1500000US130630405133,1.31E+11,Block Group 3 Census Tract 405.13 Clayton County Georgia,2069,148,1779,34,108,0,0,0,0,0
1500000US130630405141,1.31E+11,Block Group 1 Census Tract 405.14 Clayton County Georgia,1156,72,1084,0,0,0,0,0,0,0
1500000US130630405142,1.31E+11,Block Group 2 Census Tract 405.14 Clayton County Georgia,2007,1050,531,0,0,0,426,0,0,0
1500000US130630405143,1.31E+11,Block Group 3 Census Tract 405.14 Clayton County Georgia,3958,98,3816,0,0,0,4,40,0,40
1500000US130630405151,1.31E+11,Block Group 1 Census Tract 405.15 Clayton County Georgia,849,76,730,0,43,0,0,0,0,0
1500000US130630405152,1.31E+11,Block Group 2 Census Tract 405.15 Clayton County Georgia,2560,211,2059,0,63,0,179,48,0,48
1500000US130630405153,1.31E+11,Block Group 3 Census Tract 405.15 Clayton County Georgia,1743,669,695,0,121,0,0,258,0,258
1500000US130630405154,1.31E+11,Block Group 4 Census Tract 405.15 Clayton County Georgia,2851,417,2342,0,91,0,1,0,0,0
1500000US130630405161,1.31E+11,Block Group 1 Census Tract 405.16 Clayton County Georgia,3540,278,2551,89,189,0,0,433,0,433
1500000US130630405162,1.31E+11,Block Group 2 Census Tract 405.16 Clayton County Georgia,1396,414,982,0,0,0,0,0,0,0
1500000US130630405163,1.31E+11,Block Group 3 Census Tract 405.16 Clayton County Georgia,1168,127,1005,0,36,0,0,0,0,0
1500000US130630405181,1.31E+11,Block Group 1 Census Tract 405.18 Clayton County Georgia,690,108,495,0,38,0,11,38,0,38
1500000US130630405182,1.31E+11,Block Group 2 Census Tract 405.18 Clayton County Georgia,2989,692,2164,0,0,0,51,82,0,82
1500000US130630405183,1.31E+11,Block Group 3 Census Tract 405.18 Clayton County Georgia,1455,291,885,0,29,0,241,9,0,9
1500000US130630405191,1.31E+11,Block Group 1 Census Tract 405.19 Clayton County Georgia,3429,94,3194,0,35,0,47,59,10,49
