GEO.id,GEO.id2,GEO.display-label
Id,Id2,Geography
0100000US,,United States
1500000US130630405151,1.31E+11,Block Group 1 Census Tract 405.15 Clayton County Georgia
1500000US130630405152,1.31E+11,Block Group 2 Census Tract 405.15 Clayton County Georgia
1500000US130630405153,1.31E+11,Block Group 3 Census Tract 405.15 Clayton County Georgia
1500000US130630405154,1.31E+11,Block Group 4 Census Tract 405.15 Clayton County Georgia
1500000US130630405161,1.31E+11,Block Group 1 Census Tract 405.16 Clayton County Georgia
1500000US130630405162,1.31E+11,Block Group 2 Census Tract 405.16 Clayton County Georgia
1500000US130630405163,1.31E+11,Block Group 3 Census Tract 405.16 Clayton County Georgia
1500000US130630405181,1.31E+11,Block Group 1 Census Tract 405.18 Clayton County Georgia
1500000US130630405182,1.31E+11,Block Group 2 Census Tract 405.18 Clayton County Georgia
1500000US130630405183,1.31E+11,Block Group 3 Census Tract 405.18 Clayton County Georgia
1500000US130630405191,1.31E+11,Block Group 1 Census Tract 405.19 Clayton County Georgia
1500000US130630405192,1.31E+11,Block Group 2 Census Tract 405.19 Clayton County Georgia
1500000US130630405201,1.31E+11,Block Group 1 Census Tract 405.20 Clayton County Georgia
1500000US130630405202,1.31E+11,Block Group 2 Census Tract 405.20 Clayton County Georgia
1500000US130630405203,1.31E+11,Block Group 3 Census Tract 405.20 Clayton County Georgia
1500000US130630405211,1.31E+11,Block Group 1 Census Tract 405.21 Clayton County Georgia
1500000US130630405212,1.31E+11,Block Group 2 Census Tract 405.21 Clayton County Georgia
1500000US130630405221,1.31E+11,Block Group 1 Census Tract 405.22 Clayton County Georgia
1500000US130630405222,1.31E+11,Block Group 2 Census Tract 405.22 Clayton County Georgia
1500000US130630405223,1.31E+11,Block Group 3 Census Tract 405.22 Clayton County Georgia
1500000US130630405231,1.31E+11,Block Group 1 Census Tract 405.23 Clayton County Georgia
1500000US130630405241,1.31E+11,Block Group 1 Census Tract 405.24 Clayton County Georgia
1500000US130630405242,1.31E+11,Block Group 2 Census Tract 405.24 Clayton County Georgia
1500000US130630405243,1.31E+11,Block Group 3 Census Tract 405.24 Clayton County Georgia
1500000US130630405244,1.31E+11,Block Group 4 Census Tract 405.24 Clayton County Georgia
1500000US130630405251,1.31E+11,Block Group 1 Census Tract 405.25 Clayton County Georgia
1500000US130630405261,1.31E+11,Block Group 1 Census Tract 405.26 Clayton County Georgia
1500000US130630405262,1.31E+11,Block Group 2 Census Tract 405.26 Clayton County Georgia
1500000US130630405263,1.31E+11,Block Group 3 Census Tract 405.26 Clayton County Georgia
1500000US130630406061,1.31E+11,Block Group 1 Census Tract 406.06 Clayton County Georgia
1500000US130630406062,1.31E+11,Block Group 2 Census Tract 406.06 Clayton County Georgia
1500000US130630406081,1.31E+11,Block Group 1 Census Tract 406.08 Clayton County Georgia
1500000US130630406082,1.31E+11,Block Group 2 Census Tract 406.08 Clayton County Georgia
1500000US130630406091,1.31E+11,Block Group 1 Census Tract 406.09 Clayton County Georgia
1500000US130630406092,1.31E+11,Block Group 2 Census Tract 406.09 Clayton County Georgia
1500000US130630406093,1.31E+11,Block Group 3 Census Tract 406.09 Clayton County Georgia
1500000US130630406111,1.31E+11,Block Group 1 Census Tract 406.11 Clayton County Georgia
1500000US130630406112,1.31E+11,Block Group 2 Census Tract 406.11 Clayton County Georgia
1500000US130630406113,1.31E+11,Block Group 3 Census Tract 406.11 Clayton County Georgia
1500000US130630406121,1.31E+11,Block Group 1 Census Tract 406.12 Clayton County Georgia
1500000US130630406122,1.31E+11,Block Group 2 Census Tract 406.12 Clayton County Georgia
1500000US130630406123,1.31E+11,Block Group 3 Census Tract 406.12 Clayton County Georgia
1500000US130630406131,1.31E+11,Block Group 1 Census Tract 406.13 Clayton County Georgia
1500000US130630406132,1.31E+11,Block Group 2 Census Tract 406.13 Clayton County Georgia
1500000US130630406133,1.31E+11,Block Group 3 Census Tract 406.13 Clayton County Georgia
1500000US130630406141,1.31E+11,Block Group 1 Census Tract 406.14 Clayton County Georgia
1500000US130630406142,1.31E+11,Block Group 2 Census Tract 406.14 Clayton County Georgia
1500000US130630406143,1.31E+11,Block Group 3 Census Tract 406.14 Clayton County Georgia
1500000US130630406151,1.31E+11,Block Group 1 Census Tract 406.15 Clayton County Georgia
1500000US130630406161,1.31E+11,Block Group 1 Census Tract 406.16 Clayton County Georgia
1500000US130630406162,1.31E+11,Block Group 2 Census Tract 406.16 Clayton County Georgia
1500000US130630406163,1.31E+11,Block Group 3 Census Tract 406.16 Clayton County Georgia
1500000US130630406171,1.31E+11,Block Group 1 Census Tract 406.17 Clayton County Georgia
1500000US130630406191,1.31E+11,Block Group 1 Census Tract 406.19 Clayton County Georgia
1500000US130630406201,1.31E+11,Block Group 1 Census Tract 406.20 Clayton County Georgia
1500000US130630406211,1.31E+11,Block Group 1 Census Tract 406.21 Clayton County Georgia
1500000US130630406212,1.31E+11,Block Group 2 Census Tract 406.21 Clayton County Georgia
1500000US130630406221,1.31E+11,Block Group 1 Census Tract 406.22 Clayton County Georgia
1500000US130630406222,1.31E+11,Block Group 2 Census Tract 406.22 Clayton County Georgia
1500000US130630406223,1.31E+11,Block Group 3 Census Tract 406.22 Clayton County Georgia
1500000US130639800001,1.31E+11,Block Group 1 Census Tract 9800 Clayton County Georgia
1500000US130670301011,1.31E+11,Block Group 1 Census Tract 301.01 Cobb County Georgia
1500000US130670301012,1.31E+11,Block Group 2 Census Tract 301.01 Cobb County Georgia
1500000US130670301013,1.31E+11,Block Group 3 Census Tract 301.01 Cobb County Georgia
1500000US130670301014,1.31E+11,Block Group 4 Census Tract 301.01 Cobb County Georgia
1500000US130670301031,1.31E+11,Block Group 1 Census Tract 301.03 Cobb County Georgia
1500000US130670301032,1.31E+11,Block Group 2 Census Tract 301.03 Cobb County Georgia
1500000US130670301033,1.31E+11,Block Group 3 Census Tract 301.03 Cobb County Georgia
1500000US130670301041,1.31E+11,Block Group 1 Census Tract 301.04 Cobb County Georgia
1500000US130670301042,1.31E+11,Block Group 2 Census Tract 301.04 Cobb County Georgia
1500000US130670301061,1.31E+11,Block Group 1 Census Tract 301.06 Cobb County Georgia
1500000US130670301062,1.31E+11,Block Group 2 Census Tract 301.06 Cobb County Georgia
1500000US130670301063,1.31E+11,Block Group 3 Census Tract 301.06 Cobb County Georgia
1500000US130670301071,1.31E+11,Block Group 1 Census Tract 301.07 Cobb County Georgia
1500000US130670301072,1.31E+11,Block Group 2 Census Tract 301.07 Cobb County Georgia
1500000US130670302091,1.31E+11,Block Group 1 Census Tract 302.09 Cobb County Georgia
1500000US130670302092,1.31E+11,Block Group 2 Census Tract 302.09 Cobb County Georgia
1500000US130670302093,1.31E+11,Block Group 3 Census Tract 302.09 Cobb County Georgia
1500000US130670302141,1.31E+11,Block Group 1 Census Tract 302.14 Cobb County Georgia
1500000US130670302142,1.31E+11,Block Group 2 Census Tract 302.14 Cobb County Georgia
1500000US130670302143,1.31E+11,Block Group 3 Census Tract 302.14 Cobb County Georgia
1500000US130670302151,1.31E+11,Block Group 1 Census Tract 302.15 Cobb County Georgia
1500000US130670302152,1.31E+11,Block Group 2 Census Tract 302.15 Cobb County Georgia
1500000US130670302153,1.31E+11,Block Group 3 Census Tract 302.15 Cobb County Georgia
1500000US130670302154,1.31E+11,Block Group 4 Census Tract 302.15 Cobb County Georgia
1500000US130670302181,1.31E+11,Block Group 1 Census Tract 302.18 Cobb County Georgia
