GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08
Id,Id2,Geography,Estimate; Total:,Estimate; Own child:,Estimate; Own child: - Biological child,Estimate; Own child: - Adopted child,Estimate; Own child: - Stepchild,Estimate; Grandchild,Estimate; Other relatives,Estimate; Foster child or other unrelated child
1500000US130630404171,1.31E+11,Block Group 1 Census Tract 404.17 Clayton County Georgia,822,635,635,0,0,178,9,0
1500000US130630404172,1.31E+11,Block Group 2 Census Tract 404.17 Clayton County Georgia,176,176,172,0,4,0,0,0
1500000US130630404173,1.31E+11,Block Group 3 Census Tract 404.17 Clayton County Georgia,460,460,449,0,11,0,0,0
1500000US130630405091,1.31E+11,Block Group 1 Census Tract 405.09 Clayton County Georgia,375,296,248,48,0,79,0,0
1500000US130630405092,1.31E+11,Block Group 2 Census Tract 405.09 Clayton County Georgia,804,675,675,0,0,129,0,0
1500000US130630405101,1.31E+11,Block Group 1 Census Tract 405.10 Clayton County Georgia,626,545,498,47,0,40,32,9
1500000US130630405102,1.31E+11,Block Group 2 Census Tract 405.10 Clayton County Georgia,448,261,135,0,126,187,0,0
1500000US130630405121,1.31E+11,Block Group 1 Census Tract 405.12 Clayton County Georgia,698,602,529,0,73,23,45,28
1500000US130630405122,1.31E+11,Block Group 2 Census Tract 405.12 Clayton County Georgia,101,91,91,0,0,10,0,0
1500000US130630405123,1.31E+11,Block Group 3 Census Tract 405.12 Clayton County Georgia,441,376,376,0,0,23,42,0
1500000US130630405131,1.31E+11,Block Group 1 Census Tract 405.13 Clayton County Georgia,382,185,185,0,0,25,172,0
1500000US130630405132,1.31E+11,Block Group 2 Census Tract 405.13 Clayton County Georgia,152,91,57,0,34,61,0,0
1500000US130630405133,1.31E+11,Block Group 3 Census Tract 405.13 Clayton County Georgia,486,396,334,14,48,50,10,30
1500000US130630405141,1.31E+11,Block Group 1 Census Tract 405.14 Clayton County Georgia,236,198,174,10,14,38,0,0
1500000US130630405142,1.31E+11,Block Group 2 Census Tract 405.14 Clayton County Georgia,721,682,633,49,0,39,0,0
1500000US130630405143,1.31E+11,Block Group 3 Census Tract 405.14 Clayton County Georgia,1121,1029,932,53,44,31,47,14
1500000US130630405151,1.31E+11,Block Group 1 Census Tract 405.15 Clayton County Georgia,242,135,135,0,0,0,41,66
1500000US130630405152,1.31E+11,Block Group 2 Census Tract 405.15 Clayton County Georgia,720,567,567,0,0,140,13,0
1500000US130630405153,1.31E+11,Block Group 3 Census Tract 405.15 Clayton County Georgia,591,591,591,0,0,0,0,0
1500000US130630405154,1.31E+11,Block Group 4 Census Tract 405.15 Clayton County Georgia,718,625,625,0,0,93,0,0
1500000US130630405161,1.31E+11,Block Group 1 Census Tract 405.16 Clayton County Georgia,1044,982,860,0,122,62,0,0
1500000US130630405162,1.31E+11,Block Group 2 Census Tract 405.16 Clayton County Georgia,450,230,194,0,36,189,31,0
1500000US130630405163,1.31E+11,Block Group 3 Census Tract 405.16 Clayton County Georgia,517,480,461,19,0,37,0,0
1500000US130630405181,1.31E+11,Block Group 1 Census Tract 405.18 Clayton County Georgia,288,227,189,0,38,61,0,0
1500000US130630405182,1.31E+11,Block Group 2 Census Tract 405.18 Clayton County Georgia,1095,803,739,28,36,158,0,134
1500000US130630405183,1.31E+11,Block Group 3 Census Tract 405.18 Clayton County Georgia,395,322,275,9,38,10,63,0
1500000US130630405191,1.31E+11,Block Group 1 Census Tract 405.19 Clayton County Georgia,820,631,526,42,63,95,81,13
1500000US130630405192,1.31E+11,Block Group 2 Census Tract 405.19 Clayton County Georgia,301,275,244,0,31,17,9,0
1500000US130630405201,1.31E+11,Block Group 1 Census Tract 405.20 Clayton County Georgia,269,252,252,0,0,0,17,0
1500000US130630405202,1.31E+11,Block Group 2 Census Tract 405.20 Clayton County Georgia,107,65,65,0,0,0,0,42
1500000US130630405203,1.31E+11,Block Group 3 Census Tract 405.20 Clayton County Georgia,553,408,401,7,0,84,0,61
1500000US130630405211,1.31E+11,Block Group 1 Census Tract 405.21 Clayton County Georgia,661,605,594,0,11,42,14,0
1500000US130630405212,1.31E+11,Block Group 2 Census Tract 405.21 Clayton County Georgia,312,277,247,19,11,0,0,35
1500000US130630405221,1.31E+11,Block Group 1 Census Tract 405.22 Clayton County Georgia,376,348,317,0,31,28,0,0
1500000US130630405222,1.31E+11,Block Group 2 Census Tract 405.22 Clayton County Georgia,355,299,299,0,0,22,26,8
1500000US130630405223,1.31E+11,Block Group 3 Census Tract 405.22 Clayton County Georgia,226,139,139,0,0,87,0,0
1500000US130630405231,1.31E+11,Block Group 1 Census Tract 405.23 Clayton County Georgia,1072,971,843,0,128,23,43,35
1500000US130630405241,1.31E+11,Block Group 1 Census Tract 405.24 Clayton County Georgia,537,409,395,0,14,10,118,0
1500000US130630405242,1.31E+11,Block Group 2 Census Tract 405.24 Clayton County Georgia,341,193,178,15,0,148,0,0
1500000US130630405243,1.31E+11,Block Group 3 Census Tract 405.24 Clayton County Georgia,464,338,338,0,0,126,0,0
1500000US130630405244,1.31E+11,Block Group 4 Census Tract 405.24 Clayton County Georgia,777,574,574,0,0,110,19,74
1500000US130630405251,1.31E+11,Block Group 1 Census Tract 405.25 Clayton County Georgia,844,707,680,5,22,108,29,0
1500000US130630405261,1.31E+11,Block Group 1 Census Tract 405.26 Clayton County Georgia,802,644,445,24,175,8,150,0
1500000US130630405262,1.31E+11,Block Group 2 Census Tract 405.26 Clayton County Georgia,684,546,546,0,0,81,0,57
1500000US130630405263,1.31E+11,Block Group 3 Census Tract 405.26 Clayton County Georgia,513,492,309,0,183,0,0,21
1500000US130630406061,1.31E+11,Block Group 1 Census Tract 406.06 Clayton County Georgia,507,345,345,0,0,88,74,0
1500000US130630406062,1.31E+11,Block Group 2 Census Tract 406.06 Clayton County Georgia,448,448,369,0,79,0,0,0
1500000US130630406081,1.31E+11,Block Group 1 Census Tract 406.08 Clayton County Georgia,2226,1791,1620,109,62,338,27,70
1500000US130630406082,1.31E+11,Block Group 2 Census Tract 406.08 Clayton County Georgia,546,365,332,33,0,70,111,0
1500000US130630406091,1.31E+11,Block Group 1 Census Tract 406.09 Clayton County Georgia,468,395,360,35,0,67,6,0
1500000US130630406092,1.31E+11,Block Group 2 Census Tract 406.09 Clayton County Georgia,575,489,426,0,63,20,66,0
1500000US130630406093,1.31E+11,Block Group 3 Census Tract 406.09 Clayton County Georgia,527,480,435,0,45,32,15,0
1500000US130630406111,1.31E+11,Block Group 1 Census Tract 406.11 Clayton County Georgia,767,491,491,0,0,246,30,0
1500000US130630406112,1.31E+11,Block Group 2 Census Tract 406.11 Clayton County Georgia,112,112,112,0,0,0,0,0
1500000US130630406113,1.31E+11,Block Group 3 Census Tract 406.11 Clayton County Georgia,624,522,510,12,0,82,0,20
1500000US130630406121,1.31E+11,Block Group 1 Census Tract 406.12 Clayton County Georgia,177,109,76,0,33,68,0,0
1500000US130630406122,1.31E+11,Block Group 2 Census Tract 406.12 Clayton County Georgia,1006,792,792,0,0,92,66,56
1500000US130630406123,1.31E+11,Block Group 3 Census Tract 406.12 Clayton County Georgia,285,228,228,0,0,37,20,0
1500000US130630406131,1.31E+11,Block Group 1 Census Tract 406.13 Clayton County Georgia,648,560,560,0,0,88,0,0
1500000US130630406132,1.31E+11,Block Group 2 Census Tract 406.13 Clayton County Georgia,706,648,648,0,0,58,0,0
1500000US130630406133,1.31E+11,Block Group 3 Census Tract 406.13 Clayton County Georgia,880,880,845,35,0,0,0,0
1500000US130630406141,1.31E+11,Block Group 1 Census Tract 406.14 Clayton County Georgia,282,261,218,0,43,0,21,0
1500000US130630406142,1.31E+11,Block Group 2 Census Tract 406.14 Clayton County Georgia,240,233,224,0,9,0,7,0
1500000US130630406143,1.31E+11,Block Group 3 Census Tract 406.14 Clayton County Georgia,472,303,303,0,0,169,0,0
1500000US130630406151,1.31E+11,Block Group 1 Census Tract 406.15 Clayton County Georgia,496,441,441,0,0,33,0,22
1500000US130630406161,1.31E+11,Block Group 1 Census Tract 406.16 Clayton County Georgia,1776,1622,1609,0,13,16,138,0
1500000US130630406162,1.31E+11,Block Group 2 Census Tract 406.16 Clayton County Georgia,109,71,71,0,0,0,38,0
1500000US130630406163,1.31E+11,Block Group 3 Census Tract 406.16 Clayton County Georgia,532,309,159,51,99,180,43,0
1500000US130630406171,1.31E+11,Block Group 1 Census Tract 406.17 Clayton County Georgia,527,343,343,0,0,7,170,7
1500000US130630406191,1.31E+11,Block Group 1 Census Tract 406.19 Clayton County Georgia,1042,845,833,12,0,117,6,74
1500000US130630406201,1.31E+11,Block Group 1 Census Tract 406.20 Clayton County Georgia,916,822,682,57,83,31,29,34
1500000US130630406211,1.31E+11,Block Group 1 Census Tract 406.21 Clayton County Georgia,1807,1534,1484,8,42,145,0,128
1500000US130630406212,1.31E+11,Block Group 2 Census Tract 406.21 Clayton County Georgia,1027,776,776,0,0,116,135,0
1500000US130630406221,1.31E+11,Block Group 1 Census Tract 406.22 Clayton County Georgia,1258,1133,1090,26,17,10,91,24
1500000US130630406222,1.31E+11,Block Group 2 Census Tract 406.22 Clayton County Georgia,1147,811,811,0,0,13,323,0
1500000US130630406223,1.31E+11,Block Group 3 Census Tract 406.22 Clayton County Georgia,235,183,155,28,0,31,21,0
1500000US130639800001,1.31E+11,Block Group 1 Census Tract 9800 Clayton County Georgia,0,0,0,0,0,0,0,0
1500000US130670301011,1.31E+11,Block Group 1 Census Tract 301.01 Cobb County Georgia,290,290,272,18,0,0,0,0
1500000US130670301012,1.31E+11,Block Group 2 Census Tract 301.01 Cobb County Georgia,247,99,89,10,0,0,148,0
1500000US130670301013,1.31E+11,Block Group 3 Census Tract 301.01 Cobb County Georgia,945,869,609,37,223,76,0,0
1500000US130670301014,1.31E+11,Block Group 4 Census Tract 301.01 Cobb County Georgia,373,219,208,11,0,106,26,22
1500000US130670301031,1.31E+11,Block Group 1 Census Tract 301.03 Cobb County Georgia,692,680,638,23,19,1,11,0
1500000US130670301032,1.31E+11,Block Group 2 Census Tract 301.03 Cobb County Georgia,638,448,366,82,0,74,65,51
1500000US130670301033,1.31E+11,Block Group 3 Census Tract 301.03 Cobb County Georgia,1143,1105,1057,28,20,38,0,0
1500000US130670301041,1.31E+11,Block Group 1 Census Tract 301.04 Cobb County Georgia,206,198,198,0,0,8,0,0
1500000US130670301042,1.31E+11,Block Group 2 Census Tract 301.04 Cobb County Georgia,668,609,594,15,0,30,2,27
1500000US130670301061,1.31E+11,Block Group 1 Census Tract 301.06 Cobb County Georgia,482,363,348,0,15,102,0,17
1500000US130670301062,1.31E+11,Block Group 2 Census Tract 301.06 Cobb County Georgia,542,488,467,21,0,41,0,13
1500000US130670301063,1.31E+11,Block Group 3 Census Tract 301.06 Cobb County Georgia,914,861,861,0,0,26,27,0
1500000US130670301071,1.31E+11,Block Group 1 Census Tract 301.07 Cobb County Georgia,494,389,389,0,0,7,98,0
1500000US130670301072,1.31E+11,Block Group 2 Census Tract 301.07 Cobb County Georgia,821,806,597,53,156,15,0,0
1500000US130670302091,1.31E+11,Block Group 1 Census Tract 302.09 Cobb County Georgia,259,239,185,54,0,20,0,0
1500000US130670302092,1.31E+11,Block Group 2 Census Tract 302.09 Cobb County Georgia,396,396,382,14,0,0,0,0
1500000US130670302093,1.31E+11,Block Group 3 Census Tract 302.09 Cobb County Georgia,1152,1084,1059,25,0,13,33,22
1500000US130670302141,1.31E+11,Block Group 1 Census Tract 302.14 Cobb County Georgia,713,563,489,57,17,150,0,0
1500000US130670302142,1.31E+11,Block Group 2 Census Tract 302.14 Cobb County Georgia,489,489,489,0,0,0,0,0
1500000US130670302143,1.31E+11,Block Group 3 Census Tract 302.14 Cobb County Georgia,935,935,935,0,0,0,0,0
1500000US130670302151,1.31E+11,Block Group 1 Census Tract 302.15 Cobb County Georgia,772,740,706,0,34,12,20,0
1500000US130670302152,1.31E+11,Block Group 2 Census Tract 302.15 Cobb County Georgia,477,438,421,0,17,39,0,0
1500000US130670302153,1.31E+11,Block Group 3 Census Tract 302.15 Cobb County Georgia,346,346,346,0,0,0,0,0
1500000US130670302154,1.31E+11,Block Group 4 Census Tract 302.15 Cobb County Georgia,1009,950,950,0,0,38,21,0
1500000US130670302181,1.31E+11,Block Group 1 Census Tract 302.18 Cobb County Georgia,917,894,865,21,8,0,23,0
1500000US130670302182,1.31E+11,Block Group 2 Census Tract 302.18 Cobb County Georgia,748,643,643,0,0,91,14,0
1500000US130670302191,1.31E+11,Block Group 1 Census Tract 302.19 Cobb County Georgia,637,635,613,0,22,2,0,0
1500000US130670302192,1.31E+11,Block Group 2 Census Tract 302.19 Cobb County Georgia,612,568,507,61,0,44,0,0
1500000US130670302193,1.31E+11,Block Group 3 Census Tract 302.19 Cobb County Georgia,716,716,689,27,0,0,0,0
1500000US130670302194,1.31E+11,Block Group 4 Census Tract 302.19 Cobb County Georgia,501,386,306,42,38,115,0,0
1500000US130670302201,1.31E+11,Block Group 1 Census Tract 302.20 Cobb County Georgia,458,449,396,53,0,9,0,0
