GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - English only,Estimate; Total: - Spanish:,Estimate; Total: - Spanish: - Limited English speaking household,Estimate; Total: - Spanish: - Not a limited English speaking household,Estimate; Total: - Other Indo-European languages:,Estimate; Total: - Other Indo-European languages: - Limited English speaking household,Estimate; Total: - Other Indo-European languages: - Not a limited English speaking household,Estimate; Total: - Asian and Pacific Island languages:,Estimate; Total: - Asian and Pacific Island languages: - Limited English speaking household,Estimate; Total: - Asian and Pacific Island languages: - Not a limited English speaking household,Estimate; Total: - Other languages:,Estimate; Total: - Other languages: - Limited English speaking household,Estimate; Total: - Other languages: - Not a limited English speaking household
1500000US130630403082,1.31E+11,Block Group 2 Census Tract 403.08 Clayton County Georgia,499,407,72,0,72,0,0,0,20,2,18,0,0,0
1500000US130630403083,1.31E+11,Block Group 3 Census Tract 403.08 Clayton County Georgia,253,143,82,72,10,0,0,0,28,10,18,0,0,0
1500000US130630404071,1.31E+11,Block Group 1 Census Tract 404.07 Clayton County Georgia,525,385,82,17,65,5,0,5,53,47,6,0,0,0
1500000US130630404072,1.31E+11,Block Group 2 Census Tract 404.07 Clayton County Georgia,608,426,94,31,63,21,0,21,67,37,30,0,0,0
1500000US130630404081,1.31E+11,Block Group 1 Census Tract 404.08 Clayton County Georgia,662,470,63,0,63,39,0,39,90,44,46,0,0,0
1500000US130630404082,1.31E+11,Block Group 2 Census Tract 404.08 Clayton County Georgia,1115,1020,38,0,38,29,0,29,17,17,0,11,0,11
1500000US130630404083,1.31E+11,Block Group 3 Census Tract 404.08 Clayton County Georgia,913,601,39,0,39,29,0,29,244,86,158,0,0,0
1500000US130630404091,1.31E+11,Block Group 1 Census Tract 404.09 Clayton County Georgia,949,744,97,0,97,8,0,8,90,67,23,10,0,10
1500000US130630404092,1.31E+11,Block Group 2 Census Tract 404.09 Clayton County Georgia,878,577,91,0,91,45,9,36,155,85,70,10,0,10
1500000US130630404101,1.31E+11,Block Group 1 Census Tract 404.10 Clayton County Georgia,1880,1547,235,25,210,23,0,23,18,0,18,57,0,57
1500000US130630404102,1.31E+11,Block Group 2 Census Tract 404.10 Clayton County Georgia,370,195,152,77,75,23,0,23,0,0,0,0,0,0
1500000US130630404111,1.31E+11,Block Group 1 Census Tract 404.11 Clayton County Georgia,855,704,95,0,95,0,0,0,36,36,0,20,0,20
1500000US130630404112,1.31E+11,Block Group 2 Census Tract 404.11 Clayton County Georgia,1030,904,104,39,65,0,0,0,22,0,22,0,0,0
1500000US130630404113,1.31E+11,Block Group 3 Census Tract 404.11 Clayton County Georgia,796,699,67,0,67,30,0,30,0,0,0,0,0,0
1500000US130630404114,1.31E+11,Block Group 4 Census Tract 404.11 Clayton County Georgia,1398,1286,69,0,69,0,0,0,43,43,0,0,0,0
1500000US130630404121,1.31E+11,Block Group 1 Census Tract 404.12 Clayton County Georgia,776,533,35,0,35,17,0,17,191,143,48,0,0,0
1500000US130630404122,1.31E+11,Block Group 2 Census Tract 404.12 Clayton County Georgia,1226,1062,136,0,136,0,0,0,28,16,12,0,0,0
1500000US130630404123,1.31E+11,Block Group 3 Census Tract 404.12 Clayton County Georgia,834,756,9,0,9,13,0,13,56,36,20,0,0,0
1500000US130630404131,1.31E+11,Block Group 1 Census Tract 404.13 Clayton County Georgia,983,660,222,103,119,17,0,17,84,48,36,0,0,0
1500000US130630404132,1.31E+11,Block Group 2 Census Tract 404.13 Clayton County Georgia,1584,1320,152,55,97,66,0,66,6,0,6,40,0,40
